"","3dprinting","academia","ai","android","anime","apple","arduino","astronomy","aviation","avp","beer","bicycles","bioinformatics","biology","bitcoin","blender","boardgames","bricks","buddhism","cardano","chemistry","chess","chinese","christianity","civicrm","codegolf","codereview","coffee","cogsci","computergraphics","conlang","cooking","craftcms","crafts","crypto","cs","cseducators","cstheory","datascience","dba","devops","diy","drones","drupal","dsp","earthscience","ebooks","economics","electronics","elementaryos","ell","emacs","engineering","english","eosio","esperanto","ethereum","expatriates","expressionengine","fitness","freelancing","french","gamedev","gardening","genealogy","german","gis","graphicdesign","ham","hardwarerecs","health","hermeneutics","hinduism","history","homebrew","hsm","interpersonal","iota","islam","italian","japanese","joomla","judaism","korean","languagelearning","latin","law","lifehacks","linguistics","literature","magento","martialarts","materials","math","matheducators","mathematica","mechanics","moderators","money","movies","music","musicfans","mythology","physics","pm","poker","politics","portuguese","pt","puzzling","quant","quantumcomputing","raspberrypi","retrocomputing","reverseengineering","robotics","rpg","ru","rus","russian","salesforce","scicomp","scifi","security","sharepoint","sitecore","skeptics","softwareengineering","softwarerecs","sound","space","spanish","sports","sqa","stackapps","stats","stellar","superuser","sustainability","tex","tezos","tor","travel","tridion","ukrainian","unix","ux","vegetarianism","vi","webapps","webmasters","windowsphone","woodworking","wordpress","workplace","worldbuilding","writers","index"
"28",3053,36752,5863,21253,5302,39490,11741,7691,14481,3926,688,14576,1955,10329,12618,32211,9107,1617,9421,399,18262,6371,4175,17361,5059,28880,38297,959,3674,2034,289,16435,5018,1356,17099,22778,2361,6769,14615,39916,2231,34629,400,36265,12776,3056,804,6896,38195,2600,33927,8540,5894,29986,723,818,13704,3383,4885,9310,2013,10355,29361,8736,2522,12542,42707,19827,2859,1828,3017,15947,7388,8985,4320,1586,10419,396,7783,1990,9127,3399,13255,665,932,2356,12202,2067,4904,2849,32606,2889,1122,40261,4702,34334,13807,789,29126,10413,22659,967,1041,34251,7385,2191,12150,1609,70541,18891,8696,3648,15624,4874,4149,3362,36107,5660,160,1610,45137,5705,26433,34511,36928,4564,6113,36467,8193,6570,10418,5566,2760,6837,1055,40816,480,40816,1584,42425,441,2336,23789,3503,132,41653,24517,492,5517,11642,19424,1141,3137,44215,37128,30604,15658,28
"29",2950,36165,5782,20834,5200,39047,11502,7502,14132,3814,683,14306,1932,10155,12417,31470,8921,1570,9297,397,17927,6280,4125,17092,4946,28272,37630,925,3597,1981,289,16142,4895,1346,16938,22428,2292,6655,14419,39229,2217,34141,395,35390,12648,3015,801,6772,37542,2568,33243,8450,5834,29647,704,794,13503,3290,4688,9127,1979,9795,28780,8540,2473,12245,41931,19520,2830,1771,2987,15626,7311,8862,4223,1555,10132,384,7641,1827,8894,3359,13044,640,909,2336,11952,2026,4829,2816,31952,2807,1117,39562,4593,33640,13575,764,28591,10151,22131,922,1020,33813,7198,2131,11941,1558,68405,18241,8513,3613,15439,4801,4070,3282,35578,5548,171,1590,44434,5623,25925,33620,35337,4536,6129,35700,8090,6394,10246,5308,2709,6722,1035,40346,480,40222,1553,41703,420,2311,23217,3443,131,40908,23953,479,5441,11481,18891,1138,3062,42909,36274,30061,15227,29
"30",2884,35681,5669,20493,5114,38483,11293,7413,13848,3736,674,14030,1890,9960,12246,31006,8775,1514,9121,395,17733,6202,4055,16857,4901,27560,36860,920,3556,1944,288,15936,4796,1337,16702,22163,2213,6541,14211,38588,2197,33550,392,34625,12496,2963,783,6686,36920,2525,32684,8288,5765,29136,690,767,13238,3232,4579,8942,1912,9347,28286,8337,2453,11941,40598,19168,2801,1749,2916,15303,7207,8719,4160,1518,9843,378,7480,1749,8697,3303,12864,631,887,2284,11750,1974,4774,2762,31406,2758,1101,39041,4517,32997,13372,758,27966,9984,21367,912,997,33407,7089,2073,11762,1496,66216,18326,8318,3581,15221,4743,4032,3225,34984,5368,179,1569,43715,5538,25375,32866,36259,4479,6044,34948,7952,6232,10095,5168,2622,6544,1027,39765,479,39588,1509,41012,417,2274,22698,3393,107,40284,23446,469,5387,11207,18508,1123,3029,41961,35359,29455,14852,30
"31",2841,35017,5610,20160,5001,37987,11084,7264,13636,3659,654,13788,1871,9783,12104,30430,8567,1499,8946,390,17450,6113,3988,16472,4828,26920,36293,905,3510,1917,288,15707,4681,1325,16509,21887,2154,6460,14040,38043,2178,33020,379,33924,12331,2906,774,6585,36439,2484,32083,8126,5678,28758,684,742,13069,3136,4514,8754,1875,8992,27837,8151,2430,11644,39442,18795,2738,1728,2874,15034,7117,8644,4026,1507,9671,375,7312,1698,8572,3237,12732,609,867,2249,11511,1928,4648,2692,30877,2727,1096,38389,4414,32516,13130,752,27393,9785,21424,886,980,32941,6935,2042,11520,1466,63743,17948,8181,3542,15080,4657,3973,3189,34327,5297,168,1544,43009,5466,24969,32156,35066,4417,5979,34291,7835,6112,9901,4949,2572,6435,1009,39301,470,38855,1485,40309,413,2249,22147,3330,121,39597,23011,459,5321,11110,18191,1116,2960,40999,34627,28810,14471,31
"32",2808,34444,5504,19756,4865,37404,10867,7154,13432,3587,650,13504,1841,9588,11907,29898,8399,1494,8826,385,17165,6030,3886,16291,4754,26352,35733,890,3444,1886,277,15440,4564,1278,16281,21561,2106,6391,13868,37508,2128,32514,372,33137,12179,2861,749,6477,35915,2472,31543,7995,5621,28427,679,705,12828,3093,4456,8588,1827,8541,27344,7956,2412,11405,38686,18323,2702,1635,2823,14781,7005,8552,3907,1500,9395,372,7187,1587,8370,3189,12540,608,859,2204,11313,1896,4538,2664,30304,2695,1086,37781,4375,31924,12940,741,26856,9615,21169,872,974,32478,6810,1976,11316,1445,61606,17614,8035,3502,14899,4533,3881,3153,33776,5169,148,1527,42433,5380,24527,31546,35478,4358,5641,33619,7711,5965,9766,4832,2537,6321,988,38764,463,38206,1465,39541,413,2219,21781,3283,120,38950,22642,449,5266,10976,17650,1110,2915,40245,34009,28297,14062,32
"33",2754,33779,5379,19430,4802,36847,10642,7035,13238,3476,635,13300,1806,9414,11758,29308,8204,1458,8674,384,16884,5932,3843,16041,4693,25756,35241,882,3378,1863,276,15170,4432,1260,16118,21286,2053,6316,13736,36945,2089,31912,370,32478,11997,2829,730,6374,35385,2414,31007,7855,5540,28056,674,684,12671,3053,4347,8408,1797,8259,26874,7748,2379,11060,37901,17972,2665,1584,2792,14584,6941,8401,3806,1494,9168,366,7070,1507,8209,3149,12393,605,847,2169,11165,1871,4445,2636,29843,2651,1080,37249,4312,31330,12753,725,26341,9392,20826,858,966,32063,6680,1953,11141,1418,59757,17307,7902,3468,14665,4486,3807,3124,33237,5069,137,1500,41789,5338,24148,30936,32267,4309,5831,33075,7578,5804,9604,4682,2489,6174,966,38258,462,37425,1440,38919,407,2183,21386,3228,112,38329,22244,446,5234,10830,17317,1107,2863,39405,33305,27795,13694,33
"34",2691,33156,5295,19132,4717,36316,10456,6929,13030,3399,622,13111,1760,9246,11612,28887,8131,1404,8570,380,16605,5804,3785,15838,4615,24819,34785,861,3340,1843,275,14884,4326,1238,15926,21015,2014,6236,13591,36491,2051,31378,367,31737,11865,2793,726,6281,34901,2389,30403,7711,5474,27628,665,663,12534,3023,4283,8277,1768,7955,26454,7588,2338,10846,37221,17514,2626,1579,2773,14255,6858,8323,3706,1481,8974,350,6953,1457,8035,3112,12204,594,841,2117,11007,1841,4355,2598,29356,2629,1073,36703,4235,30837,12549,721,25820,9207,20574,845,954,31644,6568,1930,10960,1390,57939,17030,7812,3434,14434,4377,3733,3091,32713,4912,125,1470,41090,5256,23750,30412,34017,4232,5419,32504,7485,5679,9459,4557,2442,6100,962,37807,461,36520,1413,38267,406,2162,21027,3210,111,37611,21857,434,5178,10716,17046,1076,2803,38660,32739,27354,13429,34
"35",2649,32498,5245,18792,4648,35751,10312,6833,12847,3327,614,12916,1742,9111,11442,28470,7960,1363,8431,378,16378,5720,3738,15642,4581,24714,34231,847,3313,1806,272,14666,4268,1225,15754,20786,1986,6120,13447,35978,2025,30977,363,31154,11704,2759,724,6213,34447,2342,29902,7554,5390,27252,657,650,12337,2987,4202,8167,1751,7718,26067,7442,2322,10575,36612,17164,2576,1552,2746,13984,6784,8251,3641,1471,8788,346,6867,1444,7901,3067,12052,591,836,2085,10786,1819,4276,2553,28956,2592,1043,36209,4162,30286,12336,706,25336,9043,20282,818,942,31199,6488,1893,10848,1377,56272,16769,7662,3406,14172,4303,3662,3028,32265,4760,138,1446,40629,5163,23389,29965,31965,4178,5667,31924,7354,5575,9313,4454,2399,5979,947,37388,447,35626,1391,37608,399,2076,20686,3139,106,36967,21514,429,5124,10583,16783,1072,2745,38034,32126,26781,13046,35
"36",2469,32016,5113,18538,4567,35247,10077,6725,12695,3301,573,12691,1729,9005,11246,27906,7865,1333,8338,375,16145,5640,3656,15429,4515,24223,33781,793,3281,1789,271,14433,4235,1190,15612,20582,1933,6066,13279,35537,1991,30519,351,30684,11565,2734,691,6146,34001,2303,29392,7387,5343,26966,654,645,12133,2939,4122,8037,1704,7544,25734,7374,2278,10278,36054,16811,2527,1523,2721,13709,6733,8129,3584,1460,8592,339,6786,1401,7778,3034,11903,584,811,2051,10620,1766,4222,2521,28582,2549,1032,35814,4097,29733,12102,693,24992,8862,19991,814,929,30841,6425,1840,10722,1352,54769,16489,7553,3374,13955,4259,3605,2984,31804,4747,139,1418,40061,5109,23062,29473,32443,4095,5577,31440,7229,5460,9155,4291,2362,5889,941,37017,442,34919,1381,37006,395,2051,20411,3074,105,36354,21202,426,5053,10415,16415,1049,2689,37461,31691,26335,12776,36
"37",2575,31449,5050,18272,4512,34742,9866,6645,12500,3249,565,12520,1706,8892,11043,27424,7767,1297,8179,368,15949,5563,3622,15244,4477,23829,33363,780,3245,1773,265,14248,4139,1169,15447,20405,1918,5960,13133,34981,1967,29993,345,30212,11397,2667,687,6066,33557,2172,28836,7240,5279,26588,637,627,11965,2895,4050,7871,1669,7398,25304,7285,2250,10047,35441,16441,2507,1501,2674,13454,6667,8028,3526,1447,8333,323,6700,1352,7689,3010,11777,568,806,2012,10480,1750,4146,2508,28160,2509,1029,35457,4019,29180,11863,662,24590,8394,19752,794,922,30521,6314,1808,10555,1306,53516,16202,7467,3352,13754,4213,3531,2943,31382,4661,130,1400,39489,5048,22487,29035,32393,4050,5489,30907,7120,5351,9061,4170,2307,5818,937,36625,420,34125,1364,36371,392,2002,20114,3026,104,35701,20876,422,5000,10293,15918,1027,2657,36918,31163,25958,12567,37
"38",2521,30765,5011,18040,4449,34094,9735,6574,12277,3178,563,12304,1690,8779,10871,26921,7637,1260,8056,358,15764,5503,3586,15054,4437,23439,32976,757,3219,1743,254,13972,4060,1136,15291,20169,1873,5877,12971,34411,1944,29563,345,29822,11281,2647,676,5997,33135,2277,28267,7108,5215,26264,630,610,11742,2859,3994,7713,1654,7184,24926,7183,2205,9753,34897,16046,2491,1477,2642,13239,6597,7918,3439,1406,8062,321,6615,1322,7595,2982,11640,556,801,1977,10314,1734,4092,2465,27808,2476,1023,34997,3949,28556,11659,655,24150,8544,19472,791,905,30199,6226,1795,10424,1294,52258,15989,7372,3321,13419,4147,3450,2877,30945,4567,117,1376,38909,4981,22395,28614,30551,4015,5436,30337,6991,5256,8885,4103,2275,5758,928,36135,407,33499,1354,35843,390,1967,19784,2974,101,35107,20560,414,4909,10196,15632,1020,2601,36327,30708,25500,12310,38
"39",2493,30189,4944,17768,4382,33528,9639,6493,12130,3088,549,12121,1665,8704,10699,26410,7534,1245,7949,353,15587,5418,3507,14875,4411,22983,32585,753,3186,1726,248,13723,3991,1127,15132,19942,1803,5761,12810,33928,1912,29139,343,29230,11155,2614,658,5929,32730,2255,27768,6999,5165,25977,627,598,11577,2823,3925,7551,1646,7039,24585,7046,2194,9576,34441,15664,2465,1464,2617,13003,6547,7816,3418,1389,7843,316,6519,1303,7494,2918,11516,553,791,1951,10223,1704,4046,2431,27431,2441,1012,34611,3871,28011,11477,648,23696,8372,19164,768,899,29847,6144,1763,10259,1263,51099,15720,7284,3286,13200,4090,3402,2833,30542,4385,106,1357,38369,4928,22081,28250,30985,3956,5378,29941,6930,5179,8728,4040,2238,5698,895,35759,402,32929,1333,35253,385,1933,19480,2905,100,34525,20268,406,4873,10073,15310,1016,2552,35804,30345,25093,11994,39
"40",2438,29536,4899,17566,4305,32952,9461,6400,11939,3023,547,11949,1628,8606,10545,25888,7385,1238,7850,348,15422,5328,3443,14643,4368,22186,32232,730,3150,1712,248,13493,3959,1098,14968,19756,1765,5685,12676,33350,1890,28668,342,28715,11031,2586,634,5858,32211,2234,27335,6817,5100,25653,613,593,11412,2769,3879,7284,1611,6878,24259,6876,2177,9337,33929,15303,2429,1424,2568,12773,6479,7735,3357,1364,7618,315,6435,1275,7396,2854,11420,549,784,1916,10079,1679,3999,2370,27057,2419,981,34282,3792,27607,11324,621,23369,8258,18912,756,883,29481,6033,1736,10156,1240,49889,15478,7202,3243,13032,4041,3362,2769,30103,4360,115,1340,37867,4853,21770,27899,30198,3895,5317,29513,6844,5079,8595,3965,2193,5600,880,35329,398,32407,1307,34735,381,1922,19204,2885,82,34072,20012,400,4788,9884,15020,1012,2492,35317,29931,24743,11802,40
"41",2417,28904,4814,17310,4238,32358,9337,6295,11757,2946,535,11786,1604,8473,10374,25443,7274,1202,7680,348,15264,5255,3381,14421,4331,22264,31905,716,3120,1675,243,13207,3879,1077,14838,19505,1732,5587,12505,32736,1878,28208,332,28197,10957,2561,617,5786,31744,2206,26715,6703,5041,25383,599,570,11231,2753,3855,7175,1592,6762,23880,6792,2147,9020,33497,14982,2403,1406,2555,12602,6432,7670,3288,1357,7453,308,6376,1254,7307,2825,11281,547,777,1866,9955,1666,3953,2341,26726,2382,973,33843,3729,27195,11156,615,22995,8129,18690,742,867,29095,5914,1705,10028,1220,48840,15247,7121,3212,12789,3998,3275,2738,29575,4343,105,1324,37398,4773,21514,27509,30649,3859,5279,29100,6733,5012,8482,3687,2160,5536,870,34914,395,32005,1301,34190,378,1887,18960,2820,96,33625,19753,393,4692,9697,14772,993,2456,34903,29622,24368,11551,41
"42",2382,28351,4780,17098,4159,31916,9196,6212,11622,2882,525,11561,1585,8394,10194,24920,7121,1184,7554,328,15102,5171,3287,14217,4286,21522,31503,709,3105,1667,235,12979,3818,1067,14676,19305,1700,5512,12385,32125,1854,27763,332,27738,10823,2461,575,5738,31342,2173,26192,6531,4975,25088,595,550,11073,2727,3795,7066,1574,6656,23517,6646,2135,8831,33060,14703,2378,1395,2526,12432,6368,7586,3240,1346,7215,305,6287,1225,7214,2798,11153,546,767,1840,9849,1636,3887,2334,26351,2356,970,33440,3662,26728,10985,592,22630,8021,18434,725,859,28745,5857,1683,9896,1210,47615,14716,7019,3155,12541,3960,3219,2706,29125,4264,98,1312,36904,4721,21219,27184,30217,3803,5219,28668,6627,4933,8376,3841,2102,5486,861,34495,394,31576,1287,33679,377,1858,18710,2777,94,33216,19469,383,4623,9598,14526,984,2422,34507,29218,24071,11383,42
"43",2329,27851,4725,16889,4107,31067,9060,6158,11425,2841,521,11357,1549,8284,10004,24388,7004,1165,7416,313,14922,5099,3248,14018,4228,21608,31050,702,3059,1643,235,12791,3753,1058,14511,19075,1683,5442,12272,31618,1836,27383,327,27222,10712,2480,560,5688,30911,2144,25734,6412,4921,24765,592,538,10923,2699,3740,6935,1542,6552,23207,6560,2106,8585,32622,14457,2350,1361,2498,12257,6301,7500,3142,1330,7027,294,6213,1202,7139,2776,11026,540,749,1813,9739,1624,3790,2299,26057,2344,966,33131,3605,26360,10868,589,22327,7908,18193,717,851,28450,5757,1652,9800,1196,46491,14493,6939,3125,12382,3897,3155,2656,28680,4154,97,1285,36406,4696,20955,26829,29928,3730,5181,28300,6516,4875,8297,3783,2061,5420,854,34009,393,31142,1274,33139,377,1824,18490,2743,93,32758,19231,376,4569,9391,14236,961,2389,34092,28830,23731,11207,43
"44",1962,27430,4671,16672,4068,30930,8930,6075,11295,2756,508,11189,1536,8172,9832,23817,6905,1153,7322,312,14756,5035,3230,13838,4184,21293,30686,699,3034,1622,232,12609,3689,1049,14357,18903,1669,5392,12135,30989,1810,27011,324,26786,10601,2458,556,5601,30501,2114,25296,6287,4860,24528,586,533,10801,2687,3684,6807,1523,6379,22835,6469,2052,8435,32100,14262,2310,1342,2482,12071,6245,7426,3116,1315,6795,293,6127,1182,7040,2719,10883,539,745,1783,9638,1606,3735,2245,25712,2298,956,32829,3561,25971,10725,570,21939,7807,17944,714,848,28141,5686,1634,9677,1178,45393,14607,6842,3076,12195,3843,3080,2623,28258,4075,109,1267,35889,4647,20658,26532,29583,3664,5112,27927,6449,4824,8204,3731,2041,5354,840,33548,391,30681,1253,32667,373,1762,18275,2716,92,32345,19032,371,4467,9242,13966,958,2366,33551,28443,23420,11041,44
"45",2246,27087,4590,16425,4013,30343,8793,5936,11166,2707,504,11017,1520,8095,9630,23387,6801,1137,7229,309,14574,4926,3195,13639,4125,20955,30314,692,3009,1600,230,12417,3662,1023,14222,18747,1645,5327,12019,30477,1799,26586,320,26343,10472,2445,543,5553,30127,2093,24858,6223,4793,23986,567,523,10665,2661,3615,6700,1501,6300,22495,6348,2043,8303,31680,13997,2284,1318,2464,11918,6165,7361,3082,1304,6614,289,6045,1157,6978,2655,10752,532,737,1772,9536,1586,3687,2220,25342,2276,942,32494,3519,25566,10591,555,21591,7693,17705,710,843,27852,5576,1619,9587,1163,44214,14388,6770,3051,12020,3801,3033,2581,27830,4015,88,1249,35276,4581,20402,26217,29270,3611,5063,27535,6391,4771,8122,3688,2012,5298,833,33131,389,30243,1232,32073,366,1752,18010,2682,90,31898,18819,364,4412,9124,13752,951,2302,33158,28057,23139,10869,45
"46",2212,26671,4547,16192,3960,29903,8667,5858,11027,2685,497,10890,1513,7998,9491,22877,6702,1112,7100,304,14409,4832,3157,13471,4081,20220,29933,685,2960,1576,227,12252,3629,1013,14066,18493,1625,5267,11894,29957,1773,26219,310,25895,10342,2414,539,5491,29697,2069,24482,6158,4725,23983,553,519,10565,2646,3579,6632,1441,6231,22201,6296,2028,8165,31221,13739,2232,1311,2441,11779,6089,7302,3045,1283,6481,289,5956,1137,6916,2598,10664,528,729,1759,9437,1572,3640,2187,25069,2253,927,32122,3474,25118,10427,529,21259,7584,17497,704,826,27599,5500,1584,9481,1132,43034,14167,6687,2983,11816,3773,2976,2539,27344,3998,123,1229,34738,4512,20120,25834,28122,3566,5012,27154,6305,4710,8018,3650,1991,5234,824,32704,387,29828,1213,31529,356,1725,17792,2643,90,31469,18661,360,4361,8981,13513,929,2270,32722,27694,22892,10692,46
"47",2188,26163,4516,15967,3917,29479,8545,5770,10886,2653,493,10709,1490,7924,9372,22485,6638,1107,6966,301,14286,4741,3126,13272,4034,20254,29610,679,2946,1562,224,12078,3573,994,13872,18313,1601,5192,11755,29473,1751,25942,308,25453,10248,2388,532,5442,29184,2038,24099,6046,4673,23707,549,518,10421,2613,3507,6548,1432,6077,21966,6204,1995,7983,30824,13474,2211,1302,2390,11605,5994,7228,2992,1262,6320,283,5850,1130,6818,2550,10570,523,708,1732,9351,1556,3581,2159,24770,2216,921,31810,3437,24709,10269,517,21014,7443,17221,699,815,27320,5449,1564,9367,1108,41997,13662,6581,2940,11637,3699,2894,2519,26884,3935,95,1221,34191,4473,19868,25547,28642,3512,4960,26789,6237,4648,7966,3589,1976,5169,801,32338,379,29421,1209,31036,351,1705,17576,2599,89,30933,18479,359,4288,8870,13335,923,2229,32269,27350,22617,10493,47
"48",2166,25739,4463,15769,3866,29137,8406,5704,10760,2610,489,10501,1471,7852,9216,22047,6566,1100,6836,300,14157,4681,3088,13087,3984,20010,29234,668,2930,1549,224,11910,3528,977,13743,18122,1574,5107,11613,29054,1743,25560,307,25077,10136,2368,525,5400,28779,2007,23738,5979,4625,23422,548,508,10254,2587,3467,6431,1413,5965,21702,6122,1963,7846,30344,13279,2178,1290,2356,11462,5930,7116,2972,1250,6190,271,5778,1096,6728,2523,10484,502,699,1706,9224,1541,3550,2142,24421,2171,918,31463,3396,24328,10094,510,20757,7371,17003,687,805,27022,5365,1553,9286,1064,40832,13795,6520,2900,11529,3668,2855,2494,26414,3887,85,1210,33397,4419,19669,25280,27202,3452,4906,26430,6125,4568,7889,3557,1954,5106,797,31885,370,29130,1195,30344,349,1651,17357,2557,88,30535,18290,352,4210,8741,13171,904,2204,31720,27003,22379,10279,48
"49",2131,25366,4412,15572,3832,28764,8269,5647,10632,2555,487,10389,1462,7763,9073,21672,6462,1090,6706,297,14035,4613,3062,12897,3941,19701,28839,666,2895,1539,223,11751,3440,971,13608,17919,1555,5060,11441,28652,1725,25230,304,24609,10035,2343,506,5370,28355,1984,23420,5904,4581,23123,541,506,10140,2570,3434,6358,1392,5861,21431,6031,1938,7732,29927,13052,2163,1279,2337,11324,5874,7059,2936,1227,6041,266,5681,1071,6643,2501,10358,500,694,1684,9130,1515,3510,2124,24146,2149,903,31123,3339,24024,9957,503,20564,7272,16830,685,791,26803,5309,1543,9216,1044,39846,13629,6465,2858,11392,3618,2808,2470,26082,3829,104,1192,32884,4364,19467,24985,27607,3390,4852,26101,6030,4503,7811,3517,1934,5052,788,31433,359,28773,1192,29731,343,1642,17173,2520,88,30108,18071,349,4144,8601,13009,886,2173,31311,26631,22082,10115,49
"50",2113,24969,4333,15361,3792,28428,8142,5582,10538,2532,481,10227,1439,7682,8899,21319,6372,1078,6617,289,13908,4576,3025,12747,3887,19417,28479,643,2862,1530,220,11625,3395,959,13490,17758,1509,5004,11301,28231,1711,24939,297,24041,9932,2324,496,5314,27867,1966,23098,5837,4530,22824,532,506,10020,2521,3405,6303,1374,5759,21233,5941,1927,7610,29444,12882,2150,1257,2306,11212,5802,6999,2893,1216,5879,263,5601,1063,6546,2452,10234,496,686,1662,9042,1505,3483,2093,23884,2118,900,30794,3291,23611,9852,502,20331,7215,16634,676,782,26531,5235,1524,9140,1036,38913,13436,6412,2830,11258,3569,2744,2418,25670,3758,109,1178,32859,4307,19289,24646,27686,3302,4773,25787,5933,4448,7723,3471,1907,5014,787,30996,355,28436,1181,29233,340,1602,17022,2486,87,29655,17826,345,4069,8505,12797,880,2152,30896,26282,21819,9951,50
"51",2082,24642,4292,15146,3745,28113,8019,5501,10434,2492,477,10087,1419,7640,8770,20950,6301,1060,6526,287,13773,4491,2961,12597,3833,18875,28113,630,2835,1510,219,11458,3351,945,13326,17564,1474,4923,11156,27860,1689,24672,290,23506,9824,2294,489,5272,27485,1944,22734,5734,4493,22561,525,501,9888,2497,3382,6221,1353,5643,20974,5857,1895,7477,29066,12732,2130,1250,2281,11097,5741,6911,2859,1203,5748,260,5526,1049,6467,2422,10124,492,680,1640,8940,1488,3441,2048,23575,2085,895,30461,3247,23223,9712,498,20072,7118,16433,672,774,26256,5185,1500,9035,1017,38069,13256,6341,2802,11117,3522,2714,2392,25326,3707,102,1159,32016,4276,19105,24356,27443,3258,4721,25518,5846,4367,7680,3426,1893,4956,780,30639,353,28099,1173,28759,332,1571,16841,2463,84,29185,17649,341,3957,8405,12626,855,2105,30464,25969,21625,9823,51
"52",2055,24263,4247,14888,3694,27751,7883,5421,10340,2444,472,9954,1389,7556,8629,20662,6235,1041,6401,279,13645,4435,2927,12382,3785,18960,27757,625,2815,1477,219,11340,3301,935,13172,17374,1430,4874,11044,27397,1683,24395,281,23120,9706,2275,474,5217,27056,1916,22372,5680,4448,22250,523,500,9736,2460,3349,6127,1337,5552,20718,5771,1877,7293,28595,12545,2104,1242,2261,10944,5686,6849,2832,1196,5659,259,5452,1022,6394,2381,10034,490,675,1623,8631,1476,3385,2021,23260,2064,891,30198,3212,22825,9578,495,19858,6810,16252,669,768,26003,5125,1489,8923,1004,37240,13068,6275,2777,11026,3482,2682,2361,24850,3612,101,1149,31910,4223,18923,24098,27124,3230,4667,25153,5732,4299,7606,3387,1870,4911,775,30303,352,27771,1165,28251,331,1546,16650,2417,83,28713,17484,338,3885,7939,12454,845,2067,30114,25694,21389,9695,52
"53",2023,23944,4193,14724,3658,27365,7773,5359,10228,2422,467,9836,1377,7465,8507,20385,6152,1034,6296,268,13512,4390,2898,12232,3721,18719,27425,613,2789,1464,215,11236,3267,922,13066,17207,1423,4838,10912,27067,1661,24113,280,22749,9620,2258,474,5187,26665,1875,22051,5605,4398,21937,507,497,9592,2437,3318,6060,1321,5473,20529,5718,1849,7170,28197,12380,2075,1228,1876,10800,5617,6784,2812,1192,5550,258,5352,1013,6313,2362,9940,487,656,1611,8765,1463,3337,1983,22960,2044,884,29868,3175,22439,9461,479,19629,6974,16057,661,758,25729,5057,1474,8836,982,36517,12922,6227,2748,10887,3435,2655,2335,24515,3563,90,1116,31403,4162,18725,23829,26872,3188,4616,24811,5672,4248,7510,3360,1842,4865,764,29905,350,27425,1151,27801,330,1521,16512,2377,70,28289,17288,334,3840,8164,12326,828,2045,29752,25391,21163,9546,53
"54",1998,23625,4137,14550,3624,27043,7652,5292,10137,2374,466,9735,1358,7402,8383,20139,6083,1023,6194,267,13425,4341,2863,12064,3665,18204,27113,611,2752,1453,214,11142,3227,915,12914,17029,1402,4787,10798,26699,1646,23811,277,22375,9514,2230,461,5151,26268,1850,21750,5526,4341,21632,504,490,9433,2429,3283,5986,1309,5369,20313,5659,1837,7063,27817,12181,2046,1211,2214,10692,5581,6721,2793,1173,5450,257,5285,1000,6259,2335,9850,484,652,1578,8689,1442,3296,1965,22652,2023,874,29576,3117,22091,9330,465,19399,6911,15890,650,750,25446,5011,1461,8755,977,35950,12792,6164,2714,10720,3400,2618,2297,24190,3468,74,1105,30969,4125,18543,23600,26607,3129,4558,24512,5611,4219,7426,3314,1811,4822,753,29590,346,27081,1137,27456,329,1493,16357,2344,82,27830,17122,329,3800,8071,12135,821,2018,29396,25113,20919,9392,54
"55",1968,23324,4058,14369,3583,26429,7555,5228,10038,2337,457,9594,1321,7338,8305,19872,6002,1008,6104,267,13338,4286,2838,11924,3641,18334,26759,605,2723,1431,212,11053,3193,906,12800,16851,1349,4736,10663,26394,1603,23550,275,22080,9382,2220,456,5108,25878,1840,21491,5463,4300,21317,493,486,9261,2389,3250,5897,1300,5301,20138,5597,1813,6982,27402,12041,2026,1197,2197,10583,5499,6661,2757,1163,5340,254,5229,988,6168,2316,9753,478,647,1559,8610,1427,3250,1931,22343,2007,861,29281,3059,21780,9202,458,19209,6827,15728,646,745,25154,4959,1435,8654,960,35388,12609,6120,2698,10583,3374,2590,2269,23874,3503,87,1090,30178,4087,18392,23330,25609,3084,4493,24221,5545,4171,7364,3277,1797,4779,741,29178,344,26756,1129,27167,324,1463,16207,2303,82,27446,16964,322,3732,7959,11981,800,1978,29032,24790,20536,9283,55
"56",1945,23051,4011,14221,3554,26199,7452,5172,9946,2317,456,9479,1302,7281,8202,19568,5924,1001,5953,265,13237,4235,2801,11766,3605,18165,26450,591,2693,1412,211,10901,3144,895,12688,16682,1323,4700,10539,26132,1599,23251,272,21788,9282,2183,454,5047,25457,1815,21149,5413,4260,20961,487,472,9104,2360,3208,5841,1290,5228,19952,5532,1784,6860,26966,11916,2016,1186,2180,10480,5449,6605,2722,1153,5267,253,5160,971,6056,2294,9632,476,645,1541,8517,1424,3229,1905,22120,1992,840,29025,3018,21393,9120,456,19030,6774,15506,640,743,24880,4906,1419,8580,948,34880,12467,6073,2639,10437,3353,2552,2235,23521,3394,102,1078,30110,4057,18249,23070,26077,3015,4441,23982,5466,4138,7299,3221,1775,4729,732,28847,338,26468,1123,26845,320,1450,16019,2269,82,27030,16786,321,3685,7874,11852,799,1955,28641,24432,20525,9151,56
